Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships
SHEPHERD Alan,2,9.0,9.0,,3.0,
NAVARRO Jorge,2,8.0,9.0,5.0,4.0,
BONERA Gianfranco,2,7.0,6.0,1.0,4.0,
GRAHAM Stuart,2,7.0,5.0,,1.0,
VAZQUEZ Efren,2,6.0,8.0,1.0,4.0,
FERRARI Virginio,2,6.0,2.0,1.0,3.0,
DALE Dickie,2,5.0,5.0,,2.0,
BERGAMONTI Angelo,2,5.0,3.0,,2.0,
NAKAGAMI Takaaki,2,4.0,8.0,6.0,1.0,
HERRON Tom,2,4.0,8.0,3.0,1.0,
PETRUCCI Danilo,2,4.0,4.0,,2.0,
PALAZZESE Ivan,2,4.0,3.0,1.0,2.0,
ITOH Mitsuo,2,3.0,8.0,,1.0,
MIGNO Andrea,2,3.0,6.0,4.0,4.0,
PESEK Lukas,2,3.0,4.0,3.0,4.0,
DORAN William,2,3.0,3.0,,2.0,
DEBON Alex,2,3.0,2.0,4.0,3.0,
WOOD Tommy,2,3.0,1.0,,2.0,
RAMIREZ Marcos,2,2.0,4.0,2.0,2.0,
SAUL Eric,2,2.0,4.0,1.0,1.0,
MONNERET Pierre,2,2.0,4.0,,2.0,
VITALI Maurizio,2,2.0,3.0,5.0,1.0,
WEST Anthony,2,2.0,2.0,,1.0,
RUTTER Tony,2,2.0,1.0,2.0,1.0,
TAMADA Makoto,2,1.0,2.0,3.0,2.0,
SCALVINI Gianluigi,2,1.0,2.0,2.0,2.0,
HUBERTS Jan,2,1.0,2.0,,3.0,
CAÑELLAS Salvador,2,1.0,2.0,,1.0,
SUZUKI Tatsuki,2,1.0,1.0,6.0,3.0,
MIDDELBURG Jack,2,1.0,1.0,2.0,1.0,
MASBOU Alexis,2,1.0,1.0,1.0,1.0,
GANDOSSI Alberto,2,1.0,1.0,,2.0,
TORRONTEGUI Herri,2,,4.0,,1.0,
WHEELER Arthur,2,,2.0,,2.0,
MCCANDLESS Cromie,2,,1.0,,1.0,
PAWI Khairul Idham,2,,,,1.0,
KASSNER Helmut,2,,,,1.0,
VENTURI Remo,1,14.0,7.0,,3.0,
CASANOVA Bruno,1,9.0,6.0,6.0,5.0,
MOLLOY Ginger,1,9.0,3.0,,,
WILLIAMS Peter,1,8.0,2.0,1.0,2.0,
FREYMOND Roland,1,6.0,3.0,,1.0,
FERRI Romolo,1,6.0,,,4.0,
KOYAMA Tomoyoshi,1,5.0,3.0,,,
BRETT Jack,1,4.0,6.0,,1.0,
COLEMAN Rod,1,4.0,6.0,,1.0,
SCHURGERS Jos,1,4.0,6.0,,,
TOURNADRE Jean Louis,1,4.0,4.0,,2.0,1.0
LEGA Mario,1,4.0,4.0,,1.0,1.0
BRIGAGLIA Domenico,1,4.0,4.0,1.0,2.0,
GRAF Ulrich,1,4.0,4.0,1.0,,
PREIN Stefan,1,3.0,4.0,2.0,5.0,
MINTER Derek,1,3.0,4.0,,,
VERMEULEN Chris,1,3.0,3.0,3.0,1.0,
BINDER Darryn,1,3.0,2.0,3.0,6.0,
BELL Artie,1,3.0,1.0,,1.0,
ITO Fumio,1,3.0,,,2.0,
KORHONEN Pentti,1,2.0,7.0,1.0,,
WILLIAMS John,1,2.0,5.0,,1.0,
SCHNEIDER Bert,1,2.0,5.0,,,
MARSOVSZKY Gyula,1,2.0,5.0,,,
AOKI Nobuatsu,1,2.0,4.0,1.0,1.0,
CHEVALLIER Olivier,1,2.0,4.0,1.0,,
MCCONNACHIE Ian,1,2.0,4.0,1.0,,
SPIES Ben,1,2.0,3.0,1.0,1.0,
NORTH Alan,1,2.0,2.0,6.0,1.0,
LUCCHI Marcellino,1,2.0,2.0,3.0,1.0,
SELINI Jean Claude,1,2.0,2.0,2.0,1.0,
BOLLE Jacques,1,2.0,2.0,1.0,1.0,
SIMEON Xavier,1,2.0,1.0,2.0,1.0,
VAN DULMEN Boet,1,2.0,1.0,1.0,,
SPAGGIARI Bruno,1,2.0,1.0,,1.0,
KISSLING Jorge,1,2.0,,,,
ZEELENBERG Wilco,1,1.0,9.0,1.0,1.0,
PUIG Alberto,1,1.0,7.0,,1.0,
NIETO Pablo,1,1.0,6.0,3.0,5.0,
AHEARN Jack,1,1.0,6.0,,,
